id_label,nom_fichier_vignette,hash_vignette,area,length,width,ratio,roundness,rectangularity,perimeter,perim_area,compactness,color_blue_mean,color_green_mean,color_red_mean,color_blue_var,color_green_var,color_red_var,gray_level_min,gray_level_max,gray_level_mean,gray_level_var
26,07__sVT_869170031917314_Pictures_207_2021-05-10_23_207_d-2021-05-10_trCP_n-000_h-230341;1398;1456;730;767;V0.png,d50b808c883b940fd207e5ef06d24a45,1294.5,63.5814,29.1447,2.18158,0.101928,0.698575,165.095,7.84092,0.596818,65.833,127.722,114.641,24.8527,303.901,205.835,87,162,116.292,208.976
26,07__sVT_869170031917314_Pictures_207_2021-05-10_23_207_d-2021-05-10_trCP_n-000_h-230341;76;138;454;481;V0.png,cb876acf5ac203e88299fc59abed3819,966.5,63.2562,20.6774,3.05919,0.0768858,0.738928,154.953,6.23736,0.505836,29.8085,108.852,105.721,410.872,975.753,868.1,32,167,98.7186,867.844
26,07__sVT_869170031917314_Pictures_207_2021-05-10_23_207_d-2021-05-10_trCP_n-000_h-230341;977;1044;1217;1248;V0.png,b37c34af12f618fd541f087a5b30133f,1160.5,70.1584,21.8642,3.20883,0.0750473,0.75654,170.61,6.80206,0.501009,57.5142,127.218,116.522,22.2951,363.257,193.733,78,158,115.633,233.761
26,103_d-2020-06-04_tr_n-000_h-200023;1491;1547;552;612;V0.png,ee8ab660fc1a81b05c94308addfc8343,1601.5,70.0036,30.4056,2.30233,0.104025,0.752408,187.865,8.52474,0.570223,51.1698,94.7723,89.4905,7.14457,660.197,384.886,57,158,87.8915,440.275
26,103_d-2020-06-07_tr_n-000_h-200050;1484;1525;759;822;V0.png,43a7a1ab659cfeb74bd165a2c83d0a12,1277,66.1876,25.4912,2.59649,0.0927871,0.756875,168.167,7.59366,0.567442,63.1588,106.162,102.263,20.7196,617.947,316.115,76,161,99.6194,397.073
26,103_d-2020-06-07_tr_n-000_h-200050;1899;1968;1075;1129;V0.png,f2f7ffc33bbfed67b294ba7b828437e5,1562,74.2674,38.7091,1.9186,0.0901434,0.543337,255.078,6.12361,0.301678,40.7921,103.809,96.8262,52.0197,1546.95,941.42,49,163,94.0168,1062.84
26,103_d-2020-06-07_tr_n-000_h-230022;1553;1585;1594;1668;V0.png,640fbe80efb308843e0c99e8252cd094,1468,74.4,28.16,2.64205,0.0844171,0.700681,189.196,7.75915,0.515362,35.8589,116.664,104.49,42.4898,297.51,252.691,83,164,103.622,232.36
26,103_d-2020-06-08_tr_n-000_h-200032;1257;1309;175;198;V0.png,ca63eca48378dd6bf96a93df3472905b,705.5,51.9865,22.9206,2.26812,0.0830934,0.592082,135.439,5.209,0.483306,32.5157,89.189,86.4173,30.0791,803.878,428.952,50,161,81.6588,530.508
26,103_d-2020-06-08_tr_n-000_h-200032;1450;1512;496;539;V0.png,89cbec4ad11c3ff0c5226ef596e17a79,1089.5,70.6693,24.0491,2.93855,0.0694409,0.641059,181.037,6.01812,0.417738,49.693,97.7085,95.454,32.2024,850.387,469.45,54,161,90.914,562.82
26,103_d-2020-06-08_tr_n-000_h-200032;1852;1917;1209;1239;V0.png,9bb6807c7b85773110a9099fe33f0efd,1444.5,64.8789,29.3477,2.2107,0.109235,0.758648,175.782,8.21758,0.587462,39.8883,95.0375,93.5664,22.1439,1079.37,608.807,57,162,87.8338,720.382
26,103_d-2020-06-08_tr_n-000_h-230033;1940;1986;353;410;V0.png,304502083f134b35699b2e4b5b07fe34,1173,60.5954,27.1742,2.22988,0.101688,0.712362,162.309,7.22697,0.559531,26.2074,87.0831,84.8596,83.5171,879.334,542.954,33,162,79.226,616.74
26,103_d-2020-06-09_tr_n-000_h-200108;1790;1850;453;509;V0.png,93995748920831b59f0b4403441a3149,1556.5,69.7635,34.0936,2.04624,0.101799,0.654408,199.179,7.81459,0.49303,35.7111,84.9951,86.157,54.1114,838.808,493.013,46,164,79.2871,576.031
26,103_d-2020-06-09_tr_n-000_h-200108;1932;1963;359;407;V0.png,bde0bd570753fc6289109b0ea2b7735d,401,53.6628,17.3574,3.09163,0.044325,0.430513,134.51,2.9812,0.278514,25.6316,105.263,97.5439,22.2502,796.751,429.998,53,157,93.5088,515.417
26,103_d-2020-06-09_tr_n-000_h-200108;924;947;1550;1616;V0.png,47f160d5f77ddfae7b30f52d6a3a27d2,887.5,65.7359,18.6483,3.52503,0.0653752,0.723979,159.154,5.57635,0.440293,38.4406,105.286,101.491,32.6881,550.673,280.429,65,166,96.4052,359.758
26,103_d-2020-06-09_tr_n-000_h-200108;973;1035;704;750;V0.png,906ca98dd40b18b1791af0929ab3d671,1599.5,61.9453,38.2099,1.62118,0.132684,0.675772,184.752,8.65754,0.588863,56.2091,99.8267,98.601,13.3089,608.74,290.821,66,160,93.9875,384.648
26,103_d-2020-06-10_tr_n-000_h-201407;1250;1282;846;917;V0.png,5a158b1bdea8968fc173be7b2a56d264,1564.5,70.9305,31.3969,2.25915,0.0989829,0.702515,204.61,7.64625,0.469603,74.2675,112.165,108.603,7.14402,470.18,236.914,82,163,106.385,300.606
26,103_d-2020-06-10_tr_n-000_h-201407;1256;1317;1376;1411;V0.png,ca9af27e7de09426b81ed9b9e0578e5f,1412.5,61.8466,30.5595,2.02381,0.117546,0.747355,165.439,8.53791,0.648522,53.4508,102.658,97.3996,12.939,639.69,369.747,72,163,95.0155,418.433
26,103_d-2020-06-10_tr_n-000_h-201407;1322;1362;1673;1743;V0.png,ee61672fe6279265f9ce0e54f3663a9e,1598.5,73.4883,35.6527,2.06122,0.0942164,0.610101,212.066,7.53775,0.446663,37.3213,104.967,100.089,56.6985,503.918,339.29,65,163,95.7284,366.457
26,103_d-2020-06-10_tr_n-000_h-201407;1461;1504;874;928;V0.png,f82d05a25db4ee13cd58fee63f7dd2ad,1160.5,59.6815,26.7538,2.23077,0.103709,0.726809,157.581,7.36448,0.587285,68.0595,113.515,107.879,14.4916,511.625,256.548,80,162,106.215,327.47
26,103_d-2020-06-10_tr_n-000_h-201407;1636;1707;632;693;V0.png,a7aef8759ebdb30fcf22d214b3d25fdf,2145.5,74.9533,41.7193,1.79661,0.121562,0.686121,214.836,9.98671,0.584152,49.5522,89.5902,87.2065,24.0529,786.359,471.896,56,160,83.8459,530.387
